bodyparts,nose,nose,nose,belly_top,belly_top,belly_top,belly_middle,belly_middle,belly_middle,belly_bottom,belly_bottom,belly_bottom,pawfrontL,pawfrontL,pawfrontL,pawfrontR,pawfrontR,pawfrontR,pawbackL,pawbackL,pawbackL,pawbackR,pawbackR,pawbackR,tailbase,tailbase,tailbase,tailmiddle_1,tailmiddle_1,tailmiddle_1,tailmiddle_2,tailmiddle_2,tailmiddle_2,tailtip,tailtip,tailtip
20,860.278,250.428,0.9800000190734864,828.004,242.984,0.9800000190734864,772.836,245.207,0.953000009059906,738.173,251.424,0.9990000128746032,801.979,251.096,1.0,828.063,228.738,0.99099999666214,757.216,272.958,1.0,719.253,222.859,1.0,696.024,257.173,1.0,655.627,229.186,0.9990000128746032,652.03,176.433,0.9990000128746032,672.033,140.858,1.0
21,863.858,252.18,0.9980000257492064,828.32,244.117,0.9490000009536744,779.707,244.754,0.6060000061988831,738.293,251.57,0.9990000128746032,805.733,251.152,1.0,836.63,229.88,0.9980000257492064,757.942,273.209,1.0,718.869,222.134,1.0,692.118,251.136,1.0,655.551,230.201,0.9990000128746032,643.766,187.43,0.9940000176429749,672.817,145.587,1.0
22,,,,,,,,,,739.269,252.306,0.9900000095367432,,,,,,,758.256,273.806,1.0,719.944,221.54,1.0,693.157,246.186,1.0,656.574,227.725,1.0,642.685,186.531,0.9919999837875366,671.488,142.49,1.0
23,,,,,,,,,,747.917,252.183,0.9990000128746032,836.55,228.435,0.1710000038146972,836.561,228.172,0.1759999990463256,758.009,273.69,1.0,721.313,221.915,1.0,699.625,246.001,1.0,659.317,225.988,1.0,646.53,186.049,1.0,670.677,141.543,1.0
24,883.499,259.657,0.1040000021457672,,,,786.184,252.063,0.6140000224113464,747.633,252.359,1.0,851.626,266.219,0.9980000257492064,837.214,231.156,1.0,756.893,274.442,1.0,717.757,219.391,1.0,703.469,245.875,1.0,665.226,227.976,1.0,653.359,180.139,1.0,672.258,140.122,1.0
25,,,,,,,,,,754.436,253.123,0.9990000128746032,,,,836.229,228.342,0.1620000004768371,757.305,274.77,1.0,728.175,217.885,1.0,710.82,250.628,1.0,670.49,226.561,1.0,655.696,183.82,1.0,681.689,141.595,1.0
26,,,,,,,,,,756.35,242.664,0.99099999666214,836.519,228.054,0.2179999947547912,836.225,228.884,0.9639999866485596,758.194,273.818,1.0,744.446,217.457,1.0,717.688,246.504,1.0,676.6,226.369,1.0,662.128,184.869,1.0,686.895,139.493,1.0
27,906.897,266.683,0.8330000042915344,850.024,252.28,0.5189999938011169,802.939,244.407,0.9950000047683716,763.562,243.661,1.0,873.684,268.718,0.9990000128746032,838.253,231.781,1.0,760.061,274.519,1.0,764.233,215.679,1.0,720.211,247.134,1.0,683.5,226.083,1.0,669.221,180.027,1.0,693.078,138.341,1.0
28,908.438,261.275,0.3149999976158142,851.07,252.386,0.9089999794960022,820.354,250.518,0.9980000257492064,770.78,244.598,0.9990000128746032,873.064,267.739,1.0,844.875,229.879,1.0,762.003,276.526,1.0,778.806,218.119,1.0,725.795,246.55,1.0,688.885,214.431,1.0,672.536,179.19,1.0,693.921,130.911,1.0
29,,,,859.878,252.08,0.2560000121593475,827.853,251.465,0.9639999866485596,771.533,253.914,0.7720000147819519,873.535,267.214,1.0,844.995,229.321,0.9990000128746032,763.589,277.295,1.0,779.926,224.207,1.0,730.334,245.244,1.0,688.134,215.846,1.0,677.335,178.551,1.0,700.064,126.013,1.0
30,,,,,,,,,,,,,,,,,,,759.481,277.255,0.9990000128746032,777.423,222.713,1.0,735.8,248.124,1.0,697.652,219.344,1.0,684.531,172.85,1.0,703.077,126.171,1.0
31,,,,,,,,,,796.067,243.73,0.1459999978542328,,,,,,,760.86,276.97,1.0,777.983,221.566,1.0,741.089,249.19,1.0,701.328,218.706,1.0,686.43,174.206,1.0,702.894,130.324,1.0
32,924.474,266.224,0.6710000038146973,875.683,253.172,0.75,843.992,252.703,0.9369999766349792,795.277,254.48,0.9330000281333924,871.236,268.113,1.0,877.944,236.555,0.9980000257492064,771.95,282.308,1.0,779.88,220.471,1.0,745.437,250.051,1.0,704.077,228.355,1.0,688.211,177.513,1.0,707.928,134.44,1.0
33,925.86,266.015,0.9459999799728394,881.069,257.622,0.9959999918937684,837.179,251.809,1.0,795.571,252.412,1.0,872.83,269.423,1.0,893.194,239.38,1.0,789.466,281.466,0.9980000257492064,779.687,222.35,1.0,751.499,244.994,1.0,708.264,227.667,1.0,691.981,177.522,1.0,714.923,135.358,1.0
34,926.637,265.044,0.9900000095367432,882.576,258.377,0.9980000257492064,847.241,251.666,1.0,800.064,251.679,1.0,873.546,270.056,1.0,899.404,239.655,1.0,790.129,280.822,1.0,780.413,221.99,1.0,750.251,246.218,1.0,709.04,226.497,1.0,699.494,187.295,0.9990000128746032,715.789,134.597,1.0
35,928.975,267.615,0.9819999933242798,883.28,258.425,0.9950000047683716,847.188,251.707,0.9990000128746032,803.91,246.917,1.0,872.436,270.125,1.0,899.204,239.562,1.0,790.846,280.955,1.0,780.703,221.451,1.0,753.685,244.847,1.0,714.466,230.604,1.0,699.615,180.548,1.0,718.562,135.605,1.0
36,929.371,261.095,0.9629999995231628,883.655,258.736,0.9900000095367432,845.908,252.469,0.9850000143051147,802.894,253.589,0.9990000128746032,872.267,269.285,1.0,900.62,238.862,1.0,790.11,279.49,1.0,781.068,221.217,1.0,757.658,244.7,1.0,714.308,230.289,1.0,699.29,184.777,1.0,714.821,134.229,1.0
37,929.335,260.795,0.9679999947547911,883.314,258.981,0.975000023841858,845.956,252.386,0.9900000095367432,804.176,254.292,0.9990000128746032,871.728,269.357,1.0,900.472,239.12,1.0,790.42,279.146,1.0,781.07,220.764,1.0,759.265,245.073,1.0,715.402,230.392,1.0,699.687,180.885,1.0,714.449,134.882,1.0
38,929.236,260.957,0.9879999756813048,883.415,258.415,0.977999985218048,846.165,252.368,0.9940000176429749,804.307,254.377,0.9990000128746032,871.437,269.552,1.0,899.2,238.978,1.0,790.369,279.594,1.0,780.918,220.404,1.0,759.994,245.3,1.0,716.784,228.668,1.0,700.833,185.159,1.0,715.646,138.274,1.0
39,,,,883.518,259.073,0.7649999856948853,846.27,252.305,0.9950000047683716,805.176,253.406,0.9990000128746032,870.793,269.83,1.0,898.874,239.315,1.0,790.729,279.901,1.0,781.209,220.741,1.0,761.492,245.373,1.0,719.864,227.423,1.0,702.53,186.955,1.0,721.119,138.313,1.0
40,930.026,260.069,0.9409999847412108,883.098,258.861,0.9089999794960022,846.555,252.132,0.9980000257492064,806.417,253.774,0.9990000128746032,871.111,270.354,1.0,899.414,239.106,1.0,791.993,281.16,1.0,781.591,220.949,1.0,764.928,246.006,1.0,720.683,228.318,1.0,703.182,186.848,0.9990000128746032,716.69,138.701,1.0
41,,,,884.052,259.835,0.625,845.356,252.423,0.9950000047683716,811.068,252.52,0.9950000047683716,870.654,270.391,1.0,899.82,238.409,0.9990000128746032,792.259,281.184,1.0,781.968,220.682,1.0,766.113,245.126,1.0,725.514,230.721,1.0,708.707,196.112,1.0,717.899,136.926,1.0
42,930.038,259.678,0.9629999995231628,884.139,259.874,0.7200000286102295,845.513,252.597,0.9959999918937684,811.314,252.607,0.99099999666214,870.905,270.158,1.0,900.692,238.4,1.0,792.708,280.439,1.0,782.096,220.458,1.0,769.59,244.879,1.0,728.643,230.535,1.0,711.348,195.707,1.0,722.251,137.45,1.0
43,,,,884.441,259.921,0.7509999871253967,845.332,252.409,0.9959999918937684,811.084,253.063,0.9950000047683716,871.19,269.594,1.0,900.937,238.364,1.0,802.172,279.637,1.0,782.156,221.124,1.0,768.539,246.4,1.0,729.305,229.819,1.0,715.934,195.818,1.0,726.894,138.037,1.0
44,929.185,260.149,0.9929999709129332,883.725,259.17,0.9829999804496764,846.672,252.783,0.9990000128746032,811.378,252.729,1.0,870.708,271.675,1.0,900.249,238.815,1.0,813.033,282.612,1.0,782.225,221.189,1.0,767.871,248.074,1.0,728.765,229.669,1.0,710.935,187.511,1.0,730.129,136.498,1.0
45,929.267,259.782,0.99099999666214,883.831,259.163,0.99099999666214,847.059,252.451,0.9990000128746032,811.908,252.477,1.0,871.759,269.23,1.0,900.35,238.781,1.0,814.053,281.844,1.0,782.394,221.44,1.0,767.03,247.81,1.0,725.355,228.17,1.0,708.687,187.118,1.0,722.825,134.843,1.0
46,929.944,260.305,0.9950000047683716,883.759,259.5,0.968999981880188,848.666,252.91,0.9990000128746032,812.3,252.479,1.0,871.402,269.57,1.0,899.634,238.706,1.0,813.491,281.907,1.0,782.675,221.926,1.0,766.329,247.47,1.0,723.554,229.281,1.0,710.353,194.565,1.0,720.352,141.024,1.0
47,929.924,260.162,0.9800000190734864,883.278,259.756,0.9459999799728394,848.88,252.929,0.9990000128746032,811.899,252.395,1.0,870.823,271.43,1.0,899.241,238.471,1.0,813.544,283.608,1.0,782.632,221.055,1.0,766.007,246.948,1.0,724.027,229.492,1.0,709.978,195.592,1.0,720.62,142.684,1.0
48,928.872,259.311,0.9610000252723694,883.098,259.653,0.975000023841858,845.833,252.688,0.9990000128746032,810.986,252.162,1.0,870.466,271.529,1.0,899.569,238.877,1.0,814.838,282.7,1.0,782.042,222.424,1.0,765.82,245.582,1.0,725.314,229.072,1.0,707.679,188.077,1.0,727.771,141.397,1.0
49,929.318,259.665,0.9589999914169312,883.155,259.558,0.9419999718666076,846.156,252.551,0.9990000128746032,811.146,251.81,1.0,870.06,271.745,1.0,899.533,239.054,1.0,814.336,282.869,1.0,781.878,221.997,1.0,766.427,245.925,1.0,725.182,227.794,1.0,706.53,187.376,1.0,720.94,137.481,1.0
50,929.198,259.974,0.975000023841858,883.628,259.654,0.8880000114440918,846.169,252.671,0.9990000128746032,810.87,252.589,1.0,870.157,269.311,1.0,899.934,239.003,1.0,813.288,281.735,1.0,782.083,222.081,1.0,766.253,245.639,1.0,725.578,228.157,1.0,705.297,187.244,1.0,718.04,135.068,1.0
51,929.063,259.977,0.977999985218048,883.218,259.281,0.953000009059906,846.284,252.641,0.9990000128746032,810.913,252.376,1.0,870.437,269.508,1.0,899.945,238.965,1.0,814.249,281.939,1.0,782.277,221.766,1.0,766.549,245.771,1.0,725.651,227.838,1.0,705.8,186.559,1.0,721.422,136.145,1.0
52,929.328,260.517,0.9950000047683716,883.29,258.526,0.996999979019165,847.828,253.413,1.0,811.135,252.198,1.0,870.777,270.934,1.0,899.563,239.262,1.0,813.399,281.33,1.0,782.297,221.97,1.0,766.032,246.495,1.0,724.82,228.576,1.0,707.25,186.898,1.0,723.451,136.691,1.0
53,929.631,260.034,0.9950000047683716,882.968,258.95,0.9900000095367432,846.218,252.642,0.9990000128746032,808.029,253.233,1.0,870.72,271.325,1.0,899.339,239.439,1.0,813.798,281.857,1.0,781.65,222.397,1.0,763.397,246.87,1.0,721.851,230.471,1.0,707.582,193.108,1.0,724.23,144.367,1.0
54,929.593,260.43,0.996999979019165,883.264,258.751,0.9860000014305116,846.429,252.512,0.9980000257492064,811.274,251.789,1.0,870.754,271.219,1.0,899.971,239.437,1.0,813.841,281.905,1.0,781.978,222.274,1.0,764.108,247.299,1.0,720.665,230.624,1.0,702.238,188.518,1.0,721.817,143.568,1.0
55,929.916,260.38,0.996999979019165,883.764,258.958,0.977999985218048,846.843,252.698,0.9950000047683716,811.496,252.765,1.0,870.704,271.415,1.0,899.752,239.636,1.0,813.574,282.123,1.0,781.831,222.127,1.0,764.48,247.457,1.0,719.744,227.175,1.0,699.088,186.147,1.0,713.633,138.684,1.0
56,928.905,260.864,0.9959999918937684,883.448,258.867,0.99099999666214,846.888,252.423,0.9980000257492064,811.085,252.006,1.0,870.915,271.114,1.0,899.189,239.666,1.0,813.447,282.114,1.0,782.061,222.175,1.0,764.798,247.411,1.0,719.776,228.007,1.0,699.776,185.201,1.0,713.763,137.824,1.0
57,929.232,261.758,0.9959999918937684,883.911,258.658,0.9940000176429749,847.198,252.576,0.996999979019165,811.173,252.368,1.0,871.367,271.281,1.0,898.864,239.878,1.0,813.441,282.047,1.0,781.977,221.746,1.0,765.398,246.812,1.0,721.189,228.202,1.0,701.813,181.113,1.0,722.085,139.091,1.0
58,928.666,258.86,0.9850000143051147,883.435,259.868,0.8199999928474426,846.966,252.509,0.996999979019165,811.176,252.086,1.0,869.968,271.685,1.0,898.379,239.35,1.0,813.215,281.94,1.0,781.892,221.882,1.0,765.815,247.045,1.0,722.464,229.463,1.0,703.508,187.526,1.0,719.757,138.356,1.0
59,924.824,258.856,0.7549999952316284,883.053,259.678,0.753000020980835,846.745,252.605,0.9980000257492064,811.181,251.901,1.0,870.151,271.345,1.0,895.275,238.463,0.9710000157356262,813.833,282.031,1.0,782.267,221.301,1.0,765.207,245.886,1.0,721.786,227.864,1.0,704.522,187.373,1.0,719.42,136.713,1.0
60,924.226,267.845,0.3659999966621399,882.665,259.275,0.8389999866485596,846.646,253.075,0.9980000257492064,811.393,251.929,1.0,871.246,270.448,1.0,898.753,239.111,0.9990000128746032,813.465,282.492,1.0,781.585,223.159,1.0,764.104,244.699,1.0,722.378,227.133,1.0,705.368,185.851,1.0,721.222,138.135,1.0
61,924.147,268.003,0.101000003516674,882.452,259.067,0.777999997138977,846.946,253.055,0.9980000257492064,811.361,251.727,1.0,871.026,270.572,1.0,898.288,239.527,0.9990000128746032,813.543,282.431,1.0,781.428,222.607,1.0,765.061,245.054,1.0,722.6,227.207,1.0,703.172,180.45,1.0,719.558,136.391,1.0
62,,,,876.133,252.064,0.2569999992847442,846.327,253.042,0.9919999837875366,811.82,252.317,1.0,869.644,269.679,1.0,898.408,239.015,0.9810000061988832,812.77,281.766,1.0,782.097,222.2,1.0,765.651,245.486,1.0,722.912,227.358,1.0,704.978,184.967,1.0,717.301,137.705,1.0
63,,,,876.088,252.026,0.2849999964237213,846.11,252.816,0.9879999756813048,811.891,252.546,1.0,870.698,269.834,1.0,898.945,238.772,0.9850000143051147,813.158,281.529,1.0,782.566,222.337,1.0,767.346,247.335,1.0,724.698,228.964,1.0,705.254,186.666,1.0,718.389,134.566,1.0
64,,,,876.164,252.262,0.2010000050067901,846.166,252.924,0.9919999837875366,811.556,253.324,1.0,870.283,272.076,1.0,899.073,241.703,0.8889999985694885,813.374,281.773,1.0,782.781,222.485,1.0,768.311,247.256,1.0,726.67,230.778,1.0,705.879,189.465,1.0,716.72,139.624,1.0
65,,,,876.32,253.275,0.4909999966621399,846.399,252.62,0.9950000047683716,811.567,253.531,1.0,870.873,271.803,1.0,899.279,241.167,0.9459999799728394,816.407,281.348,1.0,782.381,222.881,1.0,768.092,246.347,1.0,729.131,233.395,1.0,709.254,195.187,1.0,718.323,144.247,1.0
66,,,,876.843,253.798,0.6240000128746033,847.87,253.416,0.9990000128746032,819.337,252.234,1.0,871.095,271.215,1.0,898.78,240.45,0.9890000224113464,819.494,281.439,1.0,782.172,223.615,1.0,772.701,248.646,1.0,730.263,233.944,1.0,711.418,194.543,1.0,719.673,144.845,1.0
67,,,,877.883,254.118,0.796999990940094,852.442,252.659,1.0,827.389,250.892,1.0,873.447,270.866,1.0,898.76,238.527,0.9959999918937684,839.974,273.905,1.0,783.76,226.718,1.0,774.703,247.974,1.0,737.945,231.194,1.0,712.098,192.296,1.0,720.367,141.448,1.0
68,,,,881.977,259.099,0.5120000243186951,859.457,251.82,0.9990000128746032,828.373,251.176,0.996999979019165,873.839,271.174,1.0,897.634,238.42,0.9829999804496764,851.189,273.461,1.0,796.034,221.215,0.9940000176429749,771.163,243.94,1.0,737.927,229.039,1.0,717.826,190.397,1.0,723.132,142.806,1.0
69,,,,883.127,260.205,0.1509999930858612,861.268,250.81,0.9990000128746032,834.989,245.275,1.0,874.974,270.451,0.9980000257492064,898.794,238.286,0.9990000128746032,849.965,271.884,1.0,825.053,213.405,1.0,778.982,244.251,1.0,742.193,229.37,1.0,719.324,193.902,1.0,728.03,142.612,1.0
70,,,,,,,876.038,251.139,0.9430000185966492,843.708,245.115,0.9829999804496764,902.55,243.961,1.0,900.064,237.507,0.996999979019165,848.992,271.859,1.0,847.405,214.989,1.0,784.976,243.257,0.996999979019165,747.262,229.208,1.0,720.933,190.558,1.0,728.266,136.366,1.0
71,,,,,,,876.47,251.045,0.9079999923706056,842.774,251.124,0.9950000047683716,901.384,242.072,1.0,900.509,236.997,0.9959999918937684,848.549,271.777,1.0,856.916,221.91,1.0,785.127,235.952,1.0,746.699,214.429,1.0,723.1,183.816,1.0,726.782,132.034,1.0
72,,,,,,,876.329,246.533,0.9819999933242798,843.304,245.744,0.9980000257492064,901.826,242.015,1.0,899.69,237.336,0.9959999918937684,847.54,272.56,1.0,856.831,222.024,1.0,785.19,235.19,1.0,742.342,212.526,1.0,721.826,171.569,1.0,730.503,126.542,1.0
73,,,,,,,876.369,246.167,0.9419999718666076,842.973,245.571,0.9980000257492064,902.279,242.576,1.0,900.573,237.35,0.9890000224113464,847.606,271.913,1.0,856.629,221.029,1.0,786.214,234.034,1.0,747.918,216.134,1.0,722.585,172.976,1.0,729.295,125.336,1.0
74,,,,,,,876.604,245.127,0.9559999704360962,843.087,245.282,0.9980000257492064,902.439,242.1,1.0,900.906,237.366,0.9769999980926514,847.779,271.75,1.0,856.634,221.06,1.0,785.183,232.381,1.0,747.158,213.741,1.0,721.722,172.351,1.0,727.325,124.299,1.0
75,,,,,,,875.922,245.694,0.8199999928474426,842.763,244.54,0.9990000128746032,904.036,242.23,0.9990000128746032,901.099,237.744,0.9470000267028807,847.506,271.403,1.0,856.549,220.356,1.0,786.413,232.32,1.0,747.662,211.731,1.0,721.604,170.442,1.0,724.086,123.398,1.0
76,,,,,,,867.391,244.656,0.9900000095367432,841.693,244.313,1.0,903.41,244.301,1.0,900.899,237.399,0.9860000014305116,846.921,271.056,1.0,856.631,220.036,1.0,796.239,230.991,1.0,747.998,210.138,1.0,720.696,170.73,1.0,719.328,125.21,1.0
77,,,,,,,876.332,251.936,0.4149999916553497,841.834,245.008,1.0,900.04,258.386,0.7509999871253967,907.783,244.165,0.6309999823570251,848.107,270.681,1.0,856.135,220.57,1.0,794.413,231.382,1.0,748.354,210.567,1.0,720.165,172.574,1.0,716.95,125.463,1.0
78,,,,,,,868.466,250.487,0.9100000262260436,842.05,245.202,1.0,899.298,259.914,0.8159999847412109,908.15,252.246,0.2319999933242797,848.359,271.554,1.0,855.291,220.475,1.0,793.512,230.61,1.0,747.475,210.074,1.0,718.242,171.002,1.0,718.382,123.306,1.0
79,,,,,,,867.212,250.241,0.8939999938011169,841.393,245.647,1.0,899.878,258.075,1.0,899.237,253.391,0.6769999861717224,848.331,272.096,1.0,856.759,219.938,1.0,795.207,229.857,1.0,745.191,202.289,1.0,715.029,169.263,1.0,711.524,122.622,1.0
80,,,,,,,868.211,250.449,0.9520000219345092,841.55,244.734,1.0,899.796,259.916,0.8659999966621399,909.794,253.156,0.7070000171661377,849.964,270.037,1.0,854.669,217.168,1.0,795.77,231.628,1.0,747.485,199.789,1.0,715.565,166.885,1.0,712.484,118.23,1.0
81,,,,,,,860.815,243.877,0.8600000143051147,843.166,243.6,0.9990000128746032,892.959,259.655,0.9559999704360962,898.839,253.327,0.3100000023841858,849.36,271.436,1.0,859.444,221.657,1.0,797.151,229.199,1.0,751.092,196.378,1.0,715.502,161.353,1.0,712.06,119.968,1.0
82,,,,,,,861.359,243.094,0.7639999985694885,842.761,243.708,0.9940000176429749,899.369,258.346,0.9990000128746032,898.759,252.916,0.7979999780654907,849.663,270.922,1.0,861.353,222.779,1.0,796.897,228.681,1.0,750.6,199.767,1.0,715.829,158.963,1.0,713.393,118.117,1.0
83,,,,,,,860.724,243.35,0.7129999995231628,843.161,243.457,0.984000027179718,891.608,258.189,0.9869999885559082,892.225,244.459,0.5860000252723694,850.368,270.776,1.0,860.664,222.963,1.0,796.87,229.409,1.0,753.745,197.396,1.0,718.535,159.319,1.0,712.447,118.163,1.0
84,,,,,,,860.127,244.095,0.5189999938011169,842.644,244.393,0.9959999918937684,891.366,259.032,0.949999988079071,884.122,251.718,0.2989999949932098,851.513,272.054,1.0,860.785,222.764,1.0,800.085,231.541,1.0,755.186,197.83,1.0,717.721,167.782,1.0,711.256,119.999,1.0
85,,,,,,,,,,850.195,244.569,0.984000027179718,,,,,,,851.172,272.668,1.0,860.824,223.652,1.0,800.482,230.045,1.0,758.04,199.327,1.0,721.883,168.292,1.0,713.454,122.138,1.0
86,,,,,,,,,,843.238,243.222,0.977999985218048,,,,,,,850.579,272.354,1.0,862.111,223.517,1.0,800.044,231.39,1.0,757.395,199.139,1.0,721.945,168.039,1.0,714.748,122.136,1.0
87,,,,,,,,,,842.941,243.798,0.9869999885559082,,,,,,,849.806,272.684,1.0,863.907,223.025,1.0,802.505,229.388,1.0,760.287,201.83,1.0,726.443,171.766,1.0,714.92,126.186,1.0
